Reference, Part#, Part#-2, Value, Vendor, Footprint, Datasheet, Datasheet2,,, extra,, Field4, Field5, Field6, Field7, Field8
U1,110-47-328-41-105000 ,,ATmega328P-PU,Digikey,Package_DIP:DIP-28_W7.62mm_SMDSocket_SmallPads,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,https://www.digikey.com/products/en?mpart=110-47-328-41-105000&v=54,,,,,,,,,
Y1,SER3686DKR-ND,,16Mhz,Digikey,Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,,,,https://www.digikey.com/product-detail/en/epson/FA-238-16.0000MB-C3/SER3686DKR-ND/2403540,,,,,,
C1, GJM0335C1HR22WB01D,,20pF,Digikey,Capacitor_SMD:C_0201_0603Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR22WB01-01.pdf,,,,,,,,,,
C2, GJM0335C1HR22WB01D,,20pF,Digikey,Capacitor_SMD:C_0201_0603Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1HR22WB01-01.pdf,,,,,,,,,,
RN1,OSOPT-10KACT-ND ,,R_Pack 10k Ohms,Digikey,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,http://www.vishay.com/docs/60002/osop.pdf,,,,,,,,,,
Q1,FDG1024NZFSCT-ND,,FDG1024NZ,Digikey,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf,,,,,,,,,,
D1,B220A-FDIDKR-ND,,B220A-13-F ,Digikey,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,,,,,,,,,,
D2,B220A-FDIDKR-ND,,B220A-13-F ,Digikey,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,,,,,,,,,,
Q2,FDG1024NZFSCT-ND,,FDG1024NZ,Digikey,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf,,,,,,,,,,
D3,B220A-FDIDKR-ND,,B220A-13-F ,Digikey,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,,,,,,,,,,
D4,B220A-FDIDKR-ND,,B220A-13-F ,Digikey,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,,,,,,,,,,
K1,ED11086-ND,255-1066-ND,DS2E-SL2-DC5V,Digikey,Package_DIP:DIP-16_W7.62mm_SMDSocket_SmallPads,https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_ds.pdf,,,,,,,,,,
J3,WM11969-ND,,Conn_01x02,Digikey,Connector_Molex:Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal,https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/Mega-Fit_Power_Conn.pdf,,,,,,,,,,
J2,WM11971-ND,,Conn_02x03_Odd_Even,Digikey,Connector_Molex:Molex_Mega-Fit_76825-0006_2x03_P5.70mm_Horizontal,https://www.molex.com/pdm_docs/as/AS-76823-100.pdf,,,,,,,,,,
J1,WM3900-ND,,Conn_01x02,Digikey,Connector_Molex:Molex_Mini-Fit_Jr_5569-02A1_2x01_P4.20mm_Horizontal,https://www.molex.com/pdm_docs/sd/039291028_sd.pdf,,,,,,,,,,
K2,ED11086-ND,255-1066-ND,DS2E-SL2-DC5V,Digikey,Package_DIP:DIP-16_W7.62mm_SMDSocket_SmallPads,https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_ds.pdf,,,,,,,,,,
C4, TCJP105M025R0500,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf,,,,,,,,,,
C6, TCJP105M025R0500,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf,,,,,,,,,,
C5, TCJP105M025R0500,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf,,,,,,,,,,
C3, TCJP105M025R0500,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf,,,,,,,,,,
U2,296-14619-1-ND,,MAX232,Digikey,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/max232.pdf,,,,,,,,,,
Q4,FDG1024NZFSCT-ND,,FDG1024NZ,Digikey,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf,,,,,,,,,,
C7, TCJP105M025R0500,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf,,,,,,,,,,
J4,609-5190-ND,,DB9_Female,Digikey,Connector_Dsub:DSUB-9_Female_Vertical_P2.77x2.84mm_MountingHoles,http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130912.pdf,,,,,,,,,,
J5,609-5184-ND,,DB9_Male_MountingHoles,Digikey,Connector_Dsub:DSUB-9_Male_Vertical_P2.77x2.84mm_MountingHoles,http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130912.pdf,,,,,,,,,,
Q3,IRF7324PBFTR-ND,,IRF7324,Digikey,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.infineon.com/dgdl/irf7324pbf.pdf?fileId=5546d462533600a4015355f5f0861b4b,,,,,,,,,,
U3,296-1222-1-ND,,74LVC125,Digikey,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc125a,,,,,,,,,,
J6,732-3820-1-ND,,Micro_SD_Card,Digikey,Connector_Card:microSD_HC_Wuerth_693072010801,http://katalog.we-online.de/em/datasheet/693072010801.pdf,,,,,,,,,,
RN2,CAY16-332J4LFCT-ND,,3.3K,Digikey,Resistor_SMD:R_Array_Convex_4x1206,https://www.bourns.com/docs/Product-Datasheets/CATCAY.pdf,,,,,,,,,,
R1,311-100KCRCT-ND,,"100k, 1%",Digikey,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,,,,,,,,
R3,311-1.00MCRCT-ND,,"1M, 1%",Digikey,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,,,,,,,,
R2,311-18.2KCRCT-ND,,"18.2k, 1%",Digikey,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,,,,,,,,
C8,490-12753-1-ND,,4.7uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219R61E475KA73-01.pdf,,,,,,,,,,
C9,478-3351-1-ND,,.1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/X7RDielectric.pdf,,,,,,,,,,
C10,311-1136-1-ND,,10nF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,,,,,,,,,,
C11,399-7062-1-ND,,10pF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://api.kemet.com/component-edge/download/datasheet/C0805C100JDGACTU.pdf,,,,,,,,,,
C13,1276-6780-1-ND,,22uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A226MOCLRNC.jsp,,,,,,,,,,
C12,311-1365-1-ND,,1uF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,,,,,,,,,,
L1,587-2771-1-ND,,2.2uH,Digikey,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=CKP2012N2R2M-T%20%20&u=M,,,,,,,,,,
R4,311-309KCRCT-ND,,"309k, 1%",Digikey,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,,,,,,,,
U4,LT8609EMSE#TRPBFCT-ND,,LT8609EMSETRPBF,,Package_SO:MSOP-10-1EP_3x3mm_P0.5mm_EP1.73x1.98mm,Linear Technology/Analog,,,,,,MSOP-10 Linear Technology,"LT8609/LT8609A/LT8609B - 42V, 2A/3A Peak Synchronous Step-Down Regulator with 2.5μA Quiescent Current",LT8609EMSE#TRPBFCT-ND,LT8609EMSE#TRPBF,https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LT8609EMSE-TRPBF/LT8609EMSE-TRPBFCT-ND/7838162?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol
C15,718-1890-1-ND,,100uF,Digikey,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,http://www.vishay.com/docs/40002/293d.pdf,,,,,,,,,,
C16,478-10560-1-ND,,5000pF,Digikey,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/X7RDielectric.pdf,,,,,,,,,,
C14,478-1561-1-ND,,.27uF,Digikey,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,http://datasheets.avx.com/X7RDielectric.pdf,,,,,,,,,,
L2,SRP6540-100MCT-ND,,10uH,Digikey,datapod:L_Sumida_CDMC6D28_7.25x6.5mm,https://www.bourns.com/docs/Product-Datasheets/SRP6540.pdf,,,,,,,,,,
D6,MBRS340FSCT-ND,,MBRS340,Digikey,Diode_SMD:D_SMC,https://www.onsemi.com/pub/Collateral/MBRS340-D.pdf,,,,,,,,,,
